90620,2023/03/06 07:42:41,,TRP,,Slot01,,15min,TO_ORANGE PARK,RX Level (MIN),Alarm,MINOR,ALARM,,
90619,2023/03/06 07:42:41,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Frame ID,Alarm,MAJOR,ALARM,,
90618,2023/03/06 07:42:40,,MDP,MODEM,Slot01,Port1,,TO_ORANGE PARK,Radio Traffic Aggregation Encapsulation Error,Normal,INFORMATION,STATUS,,
90617,2023/03/06 07:42:40,,MDP,,,MEP Index005,,,ETH-OAM LOC,Normal,CLEARED,ALARM,,
90616,2023/03/06 07:42:38,,MDP,,,Ring ID02,,,ETH-Ring Port0 Status,Blocking,INFORMATION,STATUS,,
90615,2023/03/06 07:42:38,,MDP,,,Ring ID02,,,ETH-Ring Cause,Local NR,INFORMATION,STATUS,,
90614,2023/03/06 07:42:38,,MDP,,,Ring ID02,,,ETH-Ring Status,Pending,INFORMATION,STATUS,,
90613,2023/03/06 07:42:38,,MDP,Main Card,,REF2,,,Quality Level,QL-SMC,INFORMATION,STATUS,,
90612,2023/03/06 07:42:38,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90611,2023/03/06 07:42:38,,MDP,Main Card,,REF2,,,CLK Drift,Normal,CLEARED,ALARM,,
90610,2023/03/06 07:42:37,,TRP,,Slot01,,,TO_ORANGE PARK,RX Level,Alarm,MAJOR,ALARM,,
90609,2023/03/06 07:42:36,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,RX Modulation,16QAM,INFORMATION,STATUS,,
90608,2023/03/06 07:42:36,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
90607,2023/03/06 07:42:36,,MDP,Main Card,,REF2,,,CLK Drift,Alarm,MINOR,ALARM,,
90606,2023/03/06 07:42:36,,MDP,Main Card,,REF2,,,SSM FAIL,Normal,CLEARED,ALARM,,
90605,2023/03/06 07:42:35,,MDP,MODEM,Slot01,Port1,,TO_ORANGE PARK,Radio Traffic Aggregation Encapsulation Error,Occur,INFORMATION,STATUS,,
90604,2023/03/06 07:42:35,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,TX Modulation,QPSK,INFORMATION,STATUS,,
90603,2023/03/06 07:42:35,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Low BER,Normal,CLEARED,ALARM,,
90602,2023/03/06 07:42:35,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,LOF,Alarm,MAJOR,ALARM,,
90601,2023/03/06 07:42:35,,MDP,Main Card,,REF2,,,SSM FAIL,Alarm,MINOR,ALARM,,
90600,2023/03/06 07:42:34,,MDP,,,Ring ID02,,,ETH-Ring Port0 Status,Signal Fail,INFORMATION,STATUS,,
90599,2023/03/06 07:42:34,,MDP,,,Ring ID02,,,ETH-Ring Cause,Local SF,INFORMATION,STATUS,,
90598,2023/03/06 07:42:34,,MDP,,,Ring ID02,,,ETH-Ring Status,Protection,INFORMATION,STATUS,,
90597,2023/03/06 07:42:34,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,RX Modulation,QPSK,INFORMATION,STATUS,,
90596,2023/03/06 07:42:34,,MDP,,,MEP Index005,,,ETH-OAM LOC,Alarm,MAJOR,ALARM,,
90595,2023/03/06 07:42:34,,MDP,MODEM,Slot02,,,TO_ORANGE PARK,Early Warning,Alarm,WARNING,ALARM,,
90594,2023/03/06 07:42:34,,MDP,MODEM,Slot01,,,TO_ORANGE PARK,Early Warning,Normal,CLEARED,ALARM,,
